	text	labels	split
503	Your answer is according to the typical liberal mainstream. Just wait for other's help but doing nothing. Oh yes, we can say you are politically correct, Merkel and the other liberals will applaud for you. Nice! Just forget 1 thing: Croatia shoulnd't check there border? Why do you let come in to the EU the illegal immigrants without any controll? Or do you think that you haven't any responsibilty? Wake up!	1	test
504	Another point - if we close the border with Serbia, what exactly should Serbia do? Handle all 150.000 migrants by itself? Or start mass executions?	0	test
506	Than they must stop the smuggling what they are constantly doing! If the countries where the illegal immigrants movements happen now, make physical barriers than they can't enter into the EU. Paralell the greek navy should stop the immigrants on the see and defend the Schengen border. If all the countries are only waiting for something than this invasion won't stop which can be easily the end of Europe. That's all.	1	test
507	We anticipated not more then 1500 migrants per day. Within the first 24 hours more 17000 refugees came. But this is irrelevant. This problem can be solved not within the EU, but only in the Middle East. All NATO countries should assemble and send serious and decisive military force on the Middle East. Full scale military intervention against ISIS is what can save EU, not closing borders and shooting refugees. We need to start with serious actions against terrorist and stop building walls between us.	0	test
508	How is this for a plan.. since Merkel was so keen to help.. how about all of europe agree to give them free passage to germany, and then build one huge fking wall right round the border, so they can't get out again. :)	1	test
509	Simon, it sounds funny. We need serious action not jokes. Merkel should stop inviting them for a start.	0	test
511	Sorry that was soooo long a post .. it just kind of ran away with me :)	0	test
512	Simon, perfect analysis. It wasn't too long, I've read it twice.	0	test
513	Simon Bellenie start killing them now	1	test
514	If certain countries had stayed out of the middle east this may not of happened. Now the world should be funding camps in their countries to help the people who are from war torn countries.	0	test
515	The beginning of the end of Schengen Agreement and of the European Union. Europe will revert to pre-Schengen and pre-EU border controls	0	test
516	Wow am I watching the BBC? Dateline London someone actually going off script and giving a sensible view not the usual Pravda left wing opinion and he's also got the gaul to stay calm as they try to shout him down. My he even put Gavin Esler in his place by pointing out the emotive language used when introducing the refugee crisis topic. If this continues I might even start watching it again regularly, no get real I know in my heart it won't change and all the good work done by the guy from Conservative Home will be forgotten.	1	test
517	BBC News - i have a Question ........... with this onslaught of Refugees and Immigrants coming into EU what happens when they get to the tunnel ????? will they just walk through it to the UK . And will the police and army be ready to stop them ?	0	test
518	Quite often we have to pay the price for other people's stupid decisions. I see no due diligence being demonstrated by Merkel or the EU parliamentarian aristocrats. The only due diligence now is for EU countries to reinstate passport control at their borders. There is a big difference between fear and reasonable caution.	1	test
519	"Dear BBC, it's not ""migrants"", it's REFUGEES. Migrants are people who willingly enter a country, these people are FLEEING from war, even if they cross borders in the process. Stop slurring the terminology for Pete's sake..."	1	test
520	What's missing is a sober, unemotional debate about the issue, apart from the constant torrent of fearmongering and racial prejudice on the one, and naivete on the other hand.	0	test
521	Don't be so naive. Even the BBC is now making it clear that only about a third are genuine refugees from Syria. The rest are economic migrants jumping the queue by using violent tactics.	1	test
522	Andray Molham So you've met each and every one of the tens of thousands now heading Germany's way, have you? Have you being watching the live feed RT by any chance?	0	test
523	Paula Robinson completely agree with you! Those of you who are really smart writing on facebook, come and see what is goning on on the hungarian borders. When they are throwing away tons of foods and water offered them and paid by OUR money. taking all fruits from our farmers yards like mantis. 85% of these poeple are NOT refugees! Refugees are and were always welcomed in Hungary. Rfugees are humble and thankful. They obey the law. I wonder how many of you seen that they used their kids as human shield whe the police hold them up. They THROW across the fence their own children for god's sake!	1	test
524	Thank you for helping changing the term https://www.youtube.com/watch?v=dKfdPw1bR-A	0	test
525	Dear Martina - they are migrants they moment they leave a safe country. True enough the ones that are in countries that border syria are refugees, but when you start marching across europe demanding entry into whichever country best suits your ambitions, you turn YOURSELF into an economic migrant. Could anyone actually give me a justification for continually arguing a point that has been explained to you time and time again? All these posts on here turn out the same way - the same trolls pushing the same message, yet never able to answer a simple question. Yes Egan and Andry, this directly applies to you. Given that the argument from them being called migrants is clear, what is the argument for them being called refugees when they leave a bordering country?	1	test
526	Actually, they're a mix of both, hence why they recently started using both terms in their news broadcasts. You need your head checking if you believe that they're all refugees, and the same can be said if you think they're all migrants.	1	test
527	A refugee must ask for asylum in the first country where there is peace. If they continue to migrate to other countries, not having a valid travel document, crossing borders in fields rather than the official way, they become illegal migrants and according to laws should be treated that way and deported. Very simple. Tell me where there is war all the way from Turkey to Germany, Sweden, UK? You might say Kosovo, perhaps. Other than that there is no conflict and no reason not to ask for asylum. That being said - not only they are they illegal migrants but illegal economical migrants. Those who really need help of any kind are not these, but those who suffer in kemps in Jordan, Lebanon, Turkey and even Egypt.	1	test
528	Sam - my post is directly above yours.. did you not read it? Explain why I need my head checking to call them migrants.. what is wrong with my explanation??	0	test
529	What is wrong with you? They are illegal immigrants and should be sent home. Winston Churchill would be turning in disgust with this situation. Shame on you.	1	test
530	Migrants. See for yourself. https://www.iom.int/sites/default/files/infographic/Mediterranean_Update_10Sept2015.pdf	0	test
532	"For Europeans asking where the women (refugees) are? Most of those young men are here to ""breed"" with your women and take over. That's what they did in each country they colonised. In ""Islamic"" Sharia a Muslim man is allowed to marry Christian & Jewish women and enslave ""athiest"" women to ""breed"" and bring in more Muslim offspring to the world, but a Muslim woman would be an adultress to marry a non-muslim - because a woman (and children) will be under the leadership of the husband, which in this case poses more than one ""Islamic"" dilemma. Muslims led many invasion in the past but they no longer need armes to invade Europe. They just need an army of young men to ""entre"" Europe and that will be it. Next thing ""your women"" will be here fighting their battles and before you know it, they are citizens and their offspring are European by birth. This is not a far future. It takes - with the other tactics employed - just one generation."	1	test
533	And they breed like grasshoppers.. Bye bye Europe.	1	test
534	After the damage to its European and international image during the Greek financial crisis negotiations debacle Angel Merkel is 'jumping the gun' and opening the gates to 'floods of people' looking for government hand-outs who have no (or little) hope of finding work in Germany or are prepared (or able) to integrate themselves into European society .... Hungary should be commended for showing people that its laws must be respected and that it is absurd to claim to be a 'refugee' and simultaneuosly 'force' (battling police, even if unarmed) your way into another country ... the real refugees from the Syrian civil war are in the refugee camps of Jordan, Lebanon and Turkey and deserve all the help necessary to provide them with the basic necessities of life and a chance to immigrate to another country by LEGAL immigration or return to their own country once the fighting has stopped and international assistance in rebuilding that country should be generously provided ... not least by the countries who took advantage of Syria's domestic problems (to reduce pressure on Israel to make peace with the Palestinians) and by their meddling (sending mercenaries) prolonged the fighting and caused many civilian deaths and most of the refugee problem ...	1	test
535	They only show snippets on TV, leading you to believe it's all about the women and kids. Wrong! This migrant situation is 75 % young men, going to Europe with a purpose in mind. They threw in a few woman and kids to make it look better. They were suppose to stop at the borders to have their papers checked, lots of them burned their passports. They threw the food they were given to the ground. These are Not refugees. These are Migrants intent on taking Europe. Germany should have never offered refuge to the mass exodus. All borders should be shut. How many Isis are in this group? The countries should only keep the women and kids plus the fathers, all the young men should be returned. Not that many Syrians but lots of other countries that are not even involved in fighting.	1	test
536	Hy. I am a hungarian and please, lets clear something. Hungary receive the migrants for months (4000-11 000 people per day). We give them water, food (which they dash against our policemans), blankets, clothes, medicines, toys. We also showed the disney tale for the kids in the East-Railway Station. Many hungarian voluntaries and policemans help them, but unfortunately nobody see these pictures in west. Yes, the government built a fence, because the migrants arrived ILLEGAL through the GREEN BORDER. The authorities could’t check them and catch the smugglers. Besides, the migrants trampled down the fieldlands, so they caused serious damages for the farmers. Please, don’t forget, the registration points are still OPEN. However, the migrants don’t want register. They don’t give fingerprint and many of them throw away their papers. They would like to go Germany immediately without any papers and become angry when they have to wait a few hours (or a day) for the next train. This situation cause the most conflicts with the police. Greece, Italy, Croatia don’t try register the migrants (maybe Slovenia do something). Now, IT IS THE BIGGEST PROBLEM. Hungary is the single country, which keep the schengen’ s rules. This is our responsibility. Currently, Croatia transport thousands of migrants with buses to the hungarian border. Yes, we take over them. We need to work TOGETHER. Please, stop blame Hungary for everything. Thank you. :)	1	test
537	#supporthungary #lovehungary	0	test
538	I agree with Hungary without Hungary Western Europe would be completely flooded already. Hungary are the only ones thinking rationally.	0	test
539	Our fence won't save Europe, it only slows the migrants down a bit for other countries. It wasn't built to save everybody, it was built to save Hungary until or if at all Europe comes to it's senses so we can work on a solution to actually solves the problem. We pretty much pushed the problem to the romanians and croatians. First I felt bad for them but the only thing they were doing was criticizing Hungary. Croatia criticized Hungary for the way we deal with the crisis until the day of closing our borders. The next day they collapsed under the masses. Romania is luckier, noone goes that way so they can keep up the anti-Hungary propaganda.	0	test
540	This is the beginning of the end for Europe. Farewell old friend. I have loved traveling and experiencing your rich culture - now it's terminally ill, and the cancer is spreading fast.	1	test
541	every soldier who died for our country has obviously died for no reason now your letting immigrants in... yet they wont take the food and water given at the border till they are allowed in our country!!! they musnt be that bad if they wont accept it!!! OPEN YOUR EYES AND REALISE THEY HAVE DONE ALL THIS ON PURPOSE!!! TO RULE ENGLAND AND MAKE IT THEIR COUNTRY...Stop bieng fkn Stupid and get some guts like SLOVAKIA HAVE!!!!!!!	1	test
543	It's nothing to what is to come	0	test
544	Can't blame some of EU countries some are just recovering from war and money crisis & now they have migrants who rather take chances to other country rather than fight for their homeland . Sad situation.	1	test
545	It is NOT a migrant crisis. It is a refugee crisis!	0	test
546	OK, well over to Sweden and Germany to take the hundreds of thousands of 'refugees' heading their way.	0	test
547	It is an ILLEGAL OCCUPATION/INVASION CRISIS..	1	test
548	Norbert Kozák I have to agree with you.	0	test
549	Helene you're naive to think that. They won't be going back ever! That's not being a refugee!	1	test
550	Oh deary me Helena. Wake up. It is an invasion. Hope you are looking forward to 1 million of these lovely folks coming to your country. They will not assimilate, they will not respect your democracy nor your rule of law. They will demand everything and give nothing back in retun. Germany once again sends Europe in crisis. How many times is that?	1	test
551	Helena you are wrong. The real refugees are still in the camps with no money and no chance of picking which country they choose to live in	0	test
552	The EU is bringing Europe to the brink. The Union is designed to maintain peace in Europe....but it's policy of forced diversity is starting to tear the continent apart. Only a small percentage of those traveling to the west are Syrian...and only a percentage of those are families. Just because Germany, France, Sweden, Belgium, Holland and Britain wishes to commit cultural and ethnic suicide by allowing uncontrolled numbers of non-White, non-Christian people in to their country....doesn't mean the rest of Europe has to. I hope we are seeing the end of this Marxist federal nightmare that we are being forced into....but I see dark times ahead!!	1	test
553	My heart aches for Europe and what's to come to our land. These people are 500 years behind in so many things and they WILL bring that mentality to us. ISLAM is vile, ISLAM is violent, ISLAM is antifeminist, homophobic, and just filthy. GO AWAY!	1	test
554	I can't understand why Europe is breaking its neck to take in these migrants you know nothing about them they are going unchecked you have no idea who's coming in ! Why are you all rushing to help these people Muslins hate us our way of life and culture if the situation was reversed these people would do NOTHING for us there are other nationalities in there these should be sent straight back to where they came from WAKE UP EUROPE seal the border end of story !!!these people come here throwing their weight around making demands Europe owes them NOTHING ! And all these fit men should be send back and be fighting for their own country ! Having just watched The Sunday Politics show Heidi Alexander of Labour said we should be taking thousands more Muslims what planet is she living on ??? The UK is FULL we can't even house our present population schools and hospitals are bursting at the seams and this woman makes these stupid remarks ! But then I guess she'd rather house Muslims than her fellow citizens !	1	test
555	I can imagine now the loss these countries have due to the migration crisis and the closing of the borders.	0	test
556	I agree with the TY persons comment. You are smarter then that aren't you?We don't want them here, Cultures of different backrounds really don't work that is why country's are so very different	1	test
557	Daily Mail (London) reports that a top Iman has told Muslims to use the migrant crisis to breed with European citizens and 'conquer their countries'. Sheikh Muhammad Ayed gave the speech at the Al-Aqsa Mosque in Jerusalem claiming Europe was only welcoming refugees as a new source of labour. He said Europe was facing a demographic disaster and urged Muslims to have children with westerners so they could 'trample them underfoot, Allah willing.' Birth rates are far higher in the Middle East and Sub-Saharan Africa, which is where most migrants are coming from.The notion of using mass migration as a form of stealth jihad is outlined in the Koran, which states, 'And whoever emigrates for the cause of Allah will find on the earth many locations and abundance.' To move to a new land in order to bring Islam is considered a meritorious GERMANY TODAY REVERSES WHAT MARTEL HAS WON FOR EUROPE. The Battle of Tours 1356, was fought on October 10, 732 between forces under the Frankish leader Charles Martel and a massive invading Islamic army led by Emir Abdul Rahman Al Ghafiqi Abd al Rahman, near the city of Tours, France. During the battle, the Franks defeated the Islamic army and Emir Abd er Rahman was killed. This battle stopped the northward advance of Islam from the Iberian peninsula, and is considered by most historians to be of macrohistorical importance, in that it halted the Islamic conquests, and preserved Christianity as the controlling faith in Europe, during a period in which Islam was overrunning the remains of the old Roman and Persian Empires. Now while ISIS is overrunning Syria, Iraq, Yemen and Libya, Germany is opening its borders to Syrians, and thereby what Charles Martel achieved for Europe has been made fruitless. These migrants cannot be compared to WWII refugees, for they were Europeans and they had no hidden agenda either to propagate their religion or to indulge in terrorist activities, as Atta & Co., did on 9/11 after enjoying everything in the West.	1	test
558	And you believe the Daily Mail (fail) your either really stupid or just born dumb .	1	test
559	@Jay Wilcox. Your response does not add up to any reasoned argument. The report is either true, or it is not. This remains the pertinent question, regardless of whomsoever published it. And, one needs a reasoned argument, to question the credibility, and the content ,of what one is commenting on. No ?	0	test
560	We are under siege, and they are invading fast. Soon they will be all over Europe. They must be stopped and sent back.	1	test
561	Close borders, send the ones already here back then get out of EU. If not the white European will soon b a memory, the only difference will be they will be fighting here instead. Wait tho, maybe the cowards will run back to Syria then!	1	test
562	Someone had a good idea... But it seems no one like themselves in this country...considering we have the whole answer for this dailly news and conflict, but we would rather sell out water to coke, and read about how it isn't getting better...maybe over a Starbucks...	0	test
563	We need to put electric fences around ourselves. They won't want to cross 240 volts of electric fencing x	1	test
564	I think they should go back to their country and fiat like they are doing to the Hungarians. I am sorry , but what I have see is man using children as shields or women, they want to get to Germany to destabilizes the Europeans country . They do not want to be fingerprint, or for that matter haven prove papers. This is to bad for all of them , but so far they have show destruction on there pat .	1	test
565	Here's a thought... why don't those countries gather an army and go in there and clean that place up? Why does it always have to be the U.S. to police the world?	1	test
566	There are countries highlighted that may want to remember their recent past regarding war and refugees	0	test
567	"this is the beginning of the end of the EU. At least I have options - but all of these ""softly softly"" left wing white apologists have not really thought this through, have they..."	1	test
568	Everyone in Europe knows this is the end of our customs, religions, way of life. I can see right wing parties being voted in next, unless it's too late already.	1	test
569	Statement from ISIS early 2015 'we will send thousands of fighters in boats to Europe and you will take them in'.....4 months later and what's happening???	1	test
570	Instead of letting all these refugees in, why don't we (all european nations, NATO ect) send a lot of troops in to eradicate ISIS. Surely in the long term this is the best possible solution. The one time we have a genuine humanitarian reason to get troops on the ground and because there is no financial benefit no one is interested, we just prat about with our toy drones and a few bomb drops slowly picking them off and its not working!!!	1	test
571	Deirdre Wolf Slater check the news before you say something 20-30% of them are refugees only most of them came from countries where there is no war and pass through safe countries where there is no war. Not hating outsiders but want to know who is who. Why is that an inhumane sin? Would you let strangers in your own house who won't tell you who they are? I think you are the one smoking something funny.....	1	test
572	Turn them back and let the surrounding, very wealthy, Muslim countries take care of their own.	1	test
574	Well, that was predictable. How long did it take for immigrants to destabilise europe. Objective achieved.	1	test
575	"Canada has to be careful when receiving them. They have all destroyed their id documents so that they can be accepted as refugees. Don't press our government too much on this issue. ""Nobody is illegal "" is not a good slogan."	1	test
576	The crisis can be easily resolved. First Europe is not responsible for it, secon those from Syria should apply for political asylum and register and lastly send the rest back. It is so simple many of these people created their own crisis and put their families in danger.	1	test
577	It will all end in tears if not another war between Europeam countries The World must act and act soon against ISIS and Syrian forces destroying their homeland	1	test
578	Seems more like some kind of invasion - so many military aged young men in those groups than a real refugee movement..	1	test
579	Also, does it seem a bit odd that hundreds of thousands of migrants are coming at the same time? Was there an announcement made in all the refugee camps to leave at once? It appears to be a little bit of a conspiracy.	1	test
580	First of all these people are not migrants.....they are missionaries of you know who...! It's quite simple.....don't let anyone enter in their respective country. There are so many humanitarian grounds to think about......with in few days of entering the refugees hosted ISIS flags in Germany. So decide it for your self...are they refugees or part of a new Jihad planed by ISIS. (The best way to get penetration in Europe)	1	test
581	Its Simple. the EU should tell Arabs if possible force them to take in the Refugees. then European countries can assist the middle eastern Refugees Camps financially and also provide aids for them so this desperate men and women wont be risking their lives in coming to Europe. also Europe should build boarders and make Hungarian Prime Minister the Head of the EU cause he is the only one with common sense on how to handle the migrants and refugees crisis	1	test
582	Teargas is your idea of 'common sense'? Interesting. I don't want any leader who pummels small children with teargas Head of Anything, let alone the EU.	1	test
583	We should have a pm with some guts. What have we got David Cameron and a loony left for labour. Pity there isn't anyone like Churchill he said Muslims were like rabid dogs. Why can't they just say NO we don't want anymore. Lets make Britain great again and not just a dumping ground. Lets start looking after our own	1	test
584	Europe needs to set a precedent of strong borders otherwise everyone all over the world will start invading Europe just because they can.	1	test
585	These are economic migrants. They go wherever they want to go (Germany) without permission or respecting the law even though they were already safe in Turkey.	1	test
586	It's about time we saw the whole story, The latest reporting has been nothing less than a media campaign to make us feel sorry for a mob heading our way. You very rarely show anything but the kids crying, We can go to other news agencies and what you see is a mob of 18-30 year old men screaming and battering Hungarian police if they don't get what they want. Do you really think we are stupid. Go on any website most people don't want any of them here. We have enough of our own problems. We do not want to become a Muslim country, Mrs Merkal says she wants them then let her have them all. Then close our borders .	1	test
587	All those refugees are selfish and primitive ppl.....how they will adjust to European culture...because their don't want.	1	test
588	Bloody Useless Since it Came about Should have Stayed the way we Were Oh But MPs and Governments know Better DONT THINK SO,,,Another Bloody Mess under European Rule..	1	test
589	shoot them all, done!!! let the communists solve the problem!!! coz i believe that these people wont stop, sooner or later, Germany will have to use guns	1	test
590	The border must be closed now as we don't won't anymore migrants . As for the Tory get out of the EU and think of our people . We should be thinking of the ex service and the homeless with children . As they need a safe place to live in instead of sleeping in the streets etc. So open your eyes for once.	1	test
591	Push them into Russia. I don't see all these people fleeing east. Why west? They hate our culture anyway.	1	test
592	I just cannot understand why any Adult would bring any child to the front of any war zone? And that's what this issue is becoming!!	1	test
593	Serbian government wants to look good in pictures as the EU decides whether they should join it or not...	1	test
594	I realise that I look at things dfferently to others so here's my humble thoughts ... another way of looking at things. I am a mental health clinician and have contact with asylum seekers. I also see the struggles they have. These people want their home lands and their families, they don't want to be westernised and their culture made irrelevant. Many also suffer from PTSD and suffer on a daily basis. I had one man who was suicidal because he was unable to provide for his family in his home country and he could not contact family in UN camps apart from one member whom he was told would not be leaving the camp. This man cannot fit into a foreign society and do all he needs to to do this successfully when he cannot cope with his immense loss. IMHO I sincerely think we need to stop looking at these situations from our own points of reference and look at them from their perspective. What do they want and need. It's not being displaced and moved to foreign lands with little to no family. You see, cultures outside of western influence appear to value family relationships much more than we do. Look around us at our neighbours - the only extended families are those immigrants who could afford to come her and wanted to. Instead of putting a bandage on a haemorrhage, why don't we fix the problem. Instead of spending all that money to resettle people all around the world, why don't governments join together to despose those in power and causing this crisis. It wold make more sense to get rid of the problem and let people live in their country with their culture and family. I have much more thought on this but this is the gist of it. At the end of the day we westerners do what we would want, maybe we should ask what they want and need. cheers	0	test
595	It i unacceptable that illegal aliens would have free access across Europe. Imagine if it was the case across India, China, Russia, even the USA. The military, the national guard, the border police would be summoned to protect national frontiers and citizens against any type of invasion, no matter the reason and/or excuse behind it.	1	test
596	If Islamic countries turn them away for being Muslim why on earth are we accept this barbaric violent religion into our country. Send them all back its the only way to protect us all	1	test
597	Tell me HOW LONG this has been happening? And why only NOW are the rest of EUROPE concerned!! When Italy has been asking for help for years now x x x	0	test
598	Obama ,NATO,Israel & Saudis start this mess Funding the Syrian Rebels aka Al Qaeda / ISIS with Money & Weapons trying to over throw Bashar al-Assad and kill all the Syrian Christians. Obama these Leaders must be Charge for War Crimes	1	test
599	If Germany wants them SO badly, send Lufthansa jers to pick them up from the airports. That way Germany dies not inconvenience other countries.	1	test
600	It's only a crisis if you make it one. These people want to become contributing members of your society- so let them.	0	test
601	Why do you keep calling its something its not --Is everyone there in the BBC that uneducated ? They are refugees !!-They are entering illegally and were does it stop ?	1	test
602	People the other side of the world have the right attitude to the migrants . According to local news they don't want over crowding and homeless , will take local jobs away from locals trying to find work , will increase the national debit as welfare will go back up , crime will increase and schools and hospitals won't cope with an already crowded system	1	test
603	Phone Angela...she has a plan ?...amazing how quiet the whole of the trumped up EU commission has become...inflated bureaucrats and no inspired visionary leaders...	1	test
604	Why can't they stay in the other countries? No welfare in Greece, Slovenia and Albania right? They sniff the welfare from across the ocean	1	test
605	Al-Gadhafi said. „If Jesus were alive when Muhammad was sent, he would have followed him. There are signs that Allah will grant victory to Islam in Europe without swords,without guns,without conquest. We don”t need terrorists,we don’t need homicide bombers. The 50+ million Muslims (in Europe) will turn it into a Muslim continent within a few decades „	1	test
606	huge cargo ship and tell them its going to germany . but send them strait back will a tattoo saying failed on their heads ..	1	test
607	why is it taking so long to resolve this once and for all? The whole situation is going to get more frantic and tragic. There should be an emergency meeting of world leaders.	0	test
608	Paul Raisbeck, you are perfectly right, but you know EU without borders concept was a product of some insane mind ! Because of that, all these migrants-refugees appear to have large number of ISIS young men, just walking in ! EU leaders should know, Islam is an invisible secretive force with endless network, they would never blend into any culture !	1	test
609	pls not Come everyone to england / welcome all abroad than here . Send troops for Siria / open fire all terrorist !! Start war and clear bad people his world.	1	test
610	actually I also am against want a protection to all UK / really am not English I am Brazilian with UK citizenship and would everyone no enter here / I walk in the streets and so I see immigrants in all parts this country - also clear one of them but . I wish have be difficult to everything and everyone in all over ! which pay more taxes and not have free health system (only people English have free ) said to be kind but do not want anyone not. I am against the benefits (all), that only the English !!! eternal life for english people .! I know I'm not English but I vote exactly what the English want !!!! for I see myself on your side !!!!!	0	test
611	Now I changed some worlds ... better .	0	test
612	as i saw till now ppl from uk are so open with this and i can't understand why they don't take all the migrants? And yeah eastern europe doesn't need those migrants	1	test
613	All of u forgot ab Israel. When they first arrived in Middle East, they looked so pity but NOW ISRAEL IS A REAL GANG IN MIDDLE EAST. And the Muslims refugees in Europe will be like this in the next generation.	1	test
614	"how 'bout the tensions over how the NATO countries don't want to be apart of NATO, until it's time for the US to come and rescue them....AGAIN. so sick of this....i'd like to see the US leave them to their own vices for just one year and see how that works out. ""why isn't America helping us?"" then turn around and hate on us.......let's disband NATO and let these tools fend for themselves."	1	test
615	they should be finaly something done by USA, Cina, Russia and whole Europe against this massive attack ! purifying in the centre of the evil !	1	test
617	We tried to help Afghanistan Iraq and Libya,by ousting brutal regimi slo they could choose democratic system,but they just proved themselves to he world they are immature and barbaric	1	test
618	"Clive Minihan You should have started by ""liberating"" the Saudis instead ;) oppressed by a brutal regime and equally oppressed by their oil reserves ..."	0	test
619	Is someone going to do something substantial about what is happening in Syria? The humanitarian crisis won't stop until Assad and ISIS are crushed.	0	test
620	Calling these people migrants is highly misleading, they're refugees, they're not leaving their home because they have a choice, they just want to find somewhere where they wont be killed/forced into killing.	0	test
621	They are migrants strange the TV keeps calling them refugees !! Either way we have no room for anymore in the uk	1	test
623	Europe is in massive debt and has no jobs for native europeans	0	test
624	Send troops to reinforce the entry's in Europe, the countries they are in is in safe zones, if they continue to move forward shoot to kill, as this is regarded as invasion.	1	test
625	Far too many. After getting what they want, will they want their families to join them? Why aren't they asking for refuge in a Muslim country! Frightening. Britain has its own problems - where are we going to put thousands more?	1	test
626	Vedran Iskra we had over 180 000 people passing through our country..... that is why I am saying you cannot really compare the 2 countries. For month we didn't let them through and tried to enforce EU law which means don't let them travel without papers. That is why we were called inhumane. The borders were only lifted because you cannot force people registering when they are already in the country and refuse to go to registration stations and refugee camps open for them.	0	test
627	Deirdre Wolf Slater so you prefer your own country's policemen standing there being attacked for hours by stones and getting injured while people who won't respect your law demand that you let them in on their terms? Meanwhile migrants using their children as huma shields and throwing them over the wall? No refugee has a right to attack police. They have duties as well and they gave to respect the law of the country they seek asylum.	1	test
628	It is just another day for us in Paradise. Why we are so afraid of being kind? saving one is one,thanks to all of the kind people who care and help!	0	test
629	Take the rose tinted specs off,and look at the Niger picture,emotions are great but engage your brain	1	test
630	knowing that it is nothing easy to European countries but people are in need and they are human being. Sympathy and support make us different from animals,god taught us to care and love.	0	test
631	I'm afraid what will happen is that this is just the beginning,and it wit happen year after year,and with all the best will in the world we will not be ab android cope with the vast numbers wanting to come to Europe,when people see the reality when the mgs collapses and the education system buckles all the good will evaporates we will be like one of those migrant boats ,overloaded it will sink and we will all perish Kyp,my arguments aren't racist I'm not a white supremacist	1	test
632	Clive Minihan I understand but I noticed some are well educated and indeed could help the society. Not all are bad,but maybe with border control rather than close the door.....terrorists can be anyone,any colour and at any places. Some claim that there are many yang men in the migration and it is a threat to EU,...if you are the parents,you would ask those yang to leave their home land in the hope that they could survive rather than being there and get killed by chemical weapon or bombs...somehow mix-feeling,it is not easy to any European .	0	test
633	Yeah that's another thing I get the impression the press are more sympathetic because they seem to be middle classes ,what about the the poor people,the ones who can't afford to leave pay thousands to escape	0	test
635	Thought some didn't make it and pass away along the journey given the conditions that they run out of food and water,boat sink... It may be the reason why most survivors reach there are mainly yang because they are physical fit.	0	test
636	Or cowards ,they wouldn't be coming to the promised land if people ran away during ww2	1	test
637	I will still donate and help,I see what your concerns are,I hope Europe continue to be a land with hope and humanity to anyone,and hopefully those migrant could go back to their countries soon as the war end and those evil power left their countries and gone.	0	test
638	Europe needs to toughen up and secure all borders. These people are nothing more than illegal immigrants.	1	test
639	Vedran Iskra unlike Hungary Croatia does that humane? Really? Do it for months without transferring them back to Hungary and remain humane. You simply cannot compare months to days! And nobody does it humane, nor Austria neither Germany, they had over 300 arsen attackes on refugee camps this year only. By the way your prime minister sad that you are prepared for dealing with it unlikely Hungary and your system collapsed after 1 day!!! Well done Mr Milanovic for making a fool of yourself!!!! And actually there is no law against building fences, I checked it. Otherwise the fence in Calais would be brought down too.... Can you actullay say something without slagging Hungary off in order to make your two day effort look any better? I don't get it....	1	test
640	I'm sorry for slagging Hungary, but you were really strict. Our system was designed for 1000 people per day, not 17000. We registered some, but most of them were forwarded to Slovenia and Hungary, due to lack of capacity.	0	test
641	You are also forwarding migrants to end destination and the registration is done in accordance with the resources.	0	test
642	I feel so bad for these people. They are trying so hard to help each other and that's what we all should do upon making darned sure that terrorist do not get through the borders. That would be my only concern.	0	test
643	Merkel wants a Noble price for saying to the world come to Germany look how amazing I am and when the world all come crashing into Europe its to late hope the Germans kick the silly old bat out at there next election.	1	test
644	Why can't we as a world realize we have an obligation to help...there are children with these 'migrants' you know.	0	test
645	If the Arabs would agree to get along with each other there would be no crisis. It is a Arab problem not the rest of the world. All you do is kill people cut heads off have no tolerance for other religions don't mix and it someone else's problem. Saudi can help you and other rich oil States .	1	test
646	I never knew that Europeans were still so nationalistic. I would have thought that the failed policies based in xenophobia that led your continent into two world wars would have created in you at least a modicum of xenophilia. What a shame. By the way these are refugees, not migrants.	1	test
647	Too late now, to worry about why these people are homeless, ?? the whole reason is not popular to admit to , poverty and unrest is normally because someone in their system has robbed them of peace and wealth !! Poorer while the rich are making a mint......	0	test
648	Let them read the KORAN and show it to their arab cousins who have plenty of shelter for them , but are not willing to let them become social parasites	1	test
649	Is there any vacant islands to put them? Or funnel them to Saudi Arabia.. They have a lot of land.. Don't Muslims take care of their own????	1	test
650	Im scared for england n us english ppl. This has to stop send them bk n close r borders n fill that tunnel up. I feel so scared or is it angry that im feeling at the moment. We don't want them here. Im scared they will try n take the E.U over n wer will be? So cameron be the hard man n say NO to them coming here n taking over the land we built n are ancestors fought for in wars n sweat tears n blood to keep the Great in GREAT BRITAIN	1	test
651	Funny how once the response from the public doesn't match the BBC'S line of we must allow these invaders into Europe they stop HYS on future news propaganda from this supposedly neutral irganisation.	1	test
652	The BBC is a great website also the Guardian and the Independent! These are our fellow human beings! Treat them with decency kindness!!!	0	test
653	The BBC are becoming traitors , liars and false producers of news. I am getting very angry. Of all the photos of the ranks of young males they still find the obligatory woman and child to lie to the people about the true nature of the migrants. Germanys own figures show almost 80% illegal immigrants. This army of young aggresssive males engulfing europe is being ignored. Why bother with visas and borders if germany says its ok to allow in millions of people with no checks or controls. It is the end of europe.	1	test
654	Does this mean that Croatia is off for holiday destinations next year along with Kos, and Lesbos too?	0	test
655	What positive guidance and preparation are we getting from Junker and his muppets in Brussels, other than threats for those who don't get involved ? Zilch !	1	test
